Edge_Number,Betweenness_Centrality
317.0,0.0
319.0,0.0
321.0,0.0
322.0,0.002180359323216466
325.0,0.0
326.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.27414555565816073
336.0,0.009506366649223793
337.0,0.0
344.0,0.0
345.0,0.0
346.0,0.0
348.0,0.0
349.0,0.0
350.0,0.0
352.0,0.0
354.0,0.3494731225823663
355.0,0.0
356.0,0.0
360.0,0.28863853233601133
361.0,0.0
365.0,0.0
366.0,0.7999917915884303
369.0,0.0
370.0,0.9128625809298079
372.0,0.0
373.0,0.0
374.0,0.0
376.0,0.664629954545921
381.0,0.0
382.0,0.0
383.0,0.13679830906721663
388.0,0.0
389.0,0.0
390.0,0.10384666687187696
391.0,0.0
393.0,0.0
395.0,0.0
396.0,0.0
398.0,0.0
399.0,0.0
402.0,0.7816152101866388
404.0,0.0
406.0,0.0
407.0,0.0
408.0,0.09372979961215255
409.0,0.0
411.0,0.0
412.0,0.0
415.0,0.0
417.0,0.0
420.0,0.007048973435528057
422.0,0.0
423.0,0.0
424.0,0.0
430.0,0.0
432.0,0.0
433.0,0.0
435.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.034675408624988455
441.0,0.0
443.0,0.0
444.0,0.0021906198376786612
445.0,0.0
449.0,0.0
450.0,0.0
453.0,0.0
455.0,0.0
58.0,0.0
59.0,0.0
88.0,0.0008721437292865864
340.0,0.004545407906752444
446.0,0.05158473645868604
77.0,0.0
80.0,0.0
83.0,0.0
85.0,0.0
87.0,0.0
97.0,0.0
103.0,0.0
104.0,0.0
107.0,0.0
108.0,0.0
236.0,0.0
338.0,0.0
117.0,0.0
120.0,0.0
128.0,0.04528991083612933
130.0,0.0
131.0,0.0
135.0,0.0
137.0,0.0
144.0,0.0
147.0,0.0
155.0,0.0
156.0,0.0
160.0,0.0
161.0,0.0
165.0,0.0
244.0,0.0
312.0,0.0
314.0,0.012712777418659772
327.0,0.0
359.0,0.0
375.0,0.0
379.0,0.0
394.0,0.0
403.0,0.0
418.0,0.0
421.0,0.0
172.0,0.0
174.0,0.0
175.0,0.0
177.0,0.0
179.0,0.0
187.0,0.0
188.0,0.0
191.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0021547080370609784
202.0,0.0
205.0,0.0
214.0,0.0
285.0,0.0
216.0,0.0
225.0,0.0
226.0,0.0
231.0,0.0
232.0,0.0
250.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
258.0,0.0
265.0,0.0
270.0,0.0
271.0,0.0
284.0,0.0
289.0,0.0
357.0,0.0
363.0,0.0
385.0,0.0017596782302664656
427.0,0.0
447.0,0.0
282.0,0.0
283.0,0.0
291.0,0.0
292.0,0.0
300.0,0.0
303.0,0.0
249.0,0.0
333.0,0.0
310.0,0.0
315.0,0.0
318.0,0.0
332.0,0.0
341.0,0.0
351.0,0.0
362.0,0.0
387.0,0.0
397.0,0.0
448.0,0.0
452.0,0.0
436.0,0.0
