node_id,Average_Neighbor_Degree
27.0,107.51428571428572
0.0,46.94444444444444
74.0,73.46551724137932
86.0,111.93939393939394
94.0,75.96491228070175
100.0,83.66666666666667
178.0,91.09302325581395
230.0,71.67213114754098
246.0,71.67213114754098
269.0,88.04347826086956
294.0,70.93442622950819
304.0,126.46153846153847
308.0,94.76190476190476
324.0,90.31818181818181
364.0,90.31818181818181
367.0,90.2
419.0,130.85714285714286
57.0,14.099290780141844
1.0,249.0
113.0,16.030434782608694
166.0,19.07514450867052
280.0,14.711026615969581
413.0,22.975206611570247
416.0,11.962750716332378
428.0,13.722972972972974
2.0,284.0
3.0,220.1
215.0,24.29245283018868
242.0,22.959349593495936
309.0,17.532663316582916
339.0,22.131386861313867
451.0,16.14351851851852
4.0,274.6
5.0,270.3333333333333
6.0,81.44
24.0,40.18518518518518
25.0,40.18518518518518
31.0,39.96153846153846
61.0,41.0
70.0,33.05263157894737
73.0,40.18518518518518
92.0,41.48148148148148
98.0,40.592592592592595
132.0,31.119402985074625
138.0,46.04761904761905
146.0,40.18518518518518
154.0,45.0
183.0,40.18518518518518
203.0,40.629629629629626
207.0,25.2
235.0,46.476190476190474
262.0,46.476190476190474
275.0,32.11666666666667
277.0,40.18518518518518
299.0,34.46153846153846
320.0,43.32
334.0,43.32
335.0,43.73913043478261
347.0,24.342105263157894
353.0,36.785714285714285
358.0,39.833333333333336
371.0,43.73913043478261
377.0,34.69047619047619
378.0,22.28676470588235
380.0,34.644444444444446
384.0,37.32258064516129
392.0,43.73913043478261
400.0,31.694915254237287
401.0,24.614035087719298
405.0,34.46153846153846
410.0,43.73913043478261
414.0,34.46153846153846
425.0,37.7
429.0,23.88659793814433
431.0,38.92857142857143
442.0,43.32
7.0,98.23076923076923
8.0,269.8333333333333
9.0,133.65384615384616
212.0,33.06122448979592
10.0,274.6
11.0,180.5
12.0,276.75
13.0,262.14285714285717
14.0,187.64285714285714
15.0,204.25
16.0,190.6
17.0,274.6
18.0,274.0
19.0,98.425
20.0,0.0
21.0,270.3333333333333
22.0,281.3333333333333
23.0,182.4375
141.0,41.45454545454545
287.0,41.45454545454545
46.0,97.3
76.0,99.87179487179488
78.0,99.87179487179488
102.0,103.4054054054054
136.0,98.425
150.0,94.88461538461539
153.0,110.7741935483871
157.0,113.20689655172414
162.0,109.28571428571429
170.0,99.6923076923077
264.0,98.425
266.0,98.425
296.0,105.85185185185185
307.0,109.71875
323.0,98.425
342.0,100.25641025641026
368.0,72.56666666666666
434.0,76.23214285714286
26.0,284.0
28.0,209.85714285714286
29.0,276.75
32.0,202.30769230769232
33.0,289.25
34.0,276.75
35.0,287.0
36.0,252.0
38.0,202.14285714285714
39.0,296.0
40.0,196.0
41.0,199.25
43.0,220.1
44.0,276.75
45.0,193.30769230769232
148.0,42.75
47.0,202.14285714285714
48.0,0.0
49.0,213.57142857142858
50.0,137.0
51.0,270.3333333333333
52.0,178.5
53.0,112.95454545454545
54.0,349.0
55.0,204.85714285714286
56.0,208.0
60.0,251.0
62.0,269.3333333333333
63.0,196.07142857142858
64.0,289.25
65.0,220.1
66.0,196.0
67.0,220.1
68.0,132.62962962962962
69.0,204.2
71.0,220.1
72.0,274.6
75.0,284.0
81.0,284.0
82.0,138.0
84.0,196.0
89.0,224.0
90.0,269.8333333333333
