node_id,Betweenness_Centrality
27,0.8275693469526068
0,0.13004308466863532
57,0.5639202207484145
70,0.7613206177082829
74,0.44262961707895626
86,0.9626422036113665
94,0.5717868035048651
100,0.5160623517451711
113,0.7993416275354601
138,0.07606138355037033
154,0.7682770973519871
166,0.8397686014426102
178,0.5076777847702958
230,0.8545626179987413
235,0.0009633538267899501
242,0.4801278017137048
246,0.8974584886479159
262,0.024398508980006776
269,0.7541947039744396
275,0.9042068064094495
280,0.7984508883187297
294,0.6058575785448032
304,0.5504526310693711
308,0.5326814155007987
309,0.8200319504284261
324,0.7596892094689451
347,0.9259040518952413
364,0.6339691145858546
367,0.7027738781042745
378,0.7368010843781768
401,0.8605799486856754
413,0.6345645543883429
416,0.7032047247906278
419,0.5223168901582999
451,0.8486517887398944
6,0.6241322554097885
1,0.16514982814542284
7,0.7190153458875925
14,0.9092704652176017
15,0.48245146923561016
16,0.5302851333688338
19,0.6077165125623275
23,0.6040906230333543
32,0.8065353149053589
45,0.8685046231301737
46,0.6231059689209468
49,0.09798615481434864
52,0.9669942392409352
63,0.3513772571041293
68,0.9604347194655564
76,0.43500508302270413
78,0.4915137725710413
95,0.48255312968969355
101,0.3232608800890739
102,0.7193590550418744
110,0.6893643801132787
112,0.14220361136660695
115,0.7692356102047732
127,0.45434477416856267
129,0.4230043084668635
134,0.21487631311419855
136,0.6542576366364912
139,0.48715689596746864
153,0.574502589921092
157,0.5651498281454228
159,0.6931112939923512
167,0.16347485114004937
170,0.9641961562666408
173,0.22912814058188505
176,0.8491504090623033
184,0.6438253376579367
185,0.07254199544948443
193,0.961920898484775
195,0.32131480853947814
201,0.6397395555985864
202,0.8092946700876216
204,0.7819722128092171
217,0.5188701166674735
221,0.08706007648738925
227,0.6050442949121363
241,0.5263784673476303
247,0.23394006874183085
251,0.3780558648400058
252,0.9668828968388439
256,0.7915767052330929
257,0.021038873021251875
264,0.7487824950380015
266,0.9617369414726242
268,0.5111536041051459
271,0.5509657743137919
274,0.29270949315002176
