Edge_Number,Betweenness_Centrality,Pagerank_Values,Clustering_Coefficient,Degree_Centrality,Average_Neighbor_Degree
27,0.8275693469526068,0.0046893362805071745,0.43698388391609877,1.6549450549450548,177.25531914893617
0,0.13004308466863532,0.0009021308560587239,0.9341719077568135,0.15384615384615385,286.52777777777777
57,0.5639202207484145,0.004658809097161969,0.4638676251770316,1.4703296703296704,180.80409356725147
70,0.7613206177082829,0.0021374080709735625,0.8209027441764014,0.3758241758241758,264.5056179775281
74,0.44262961707895626,0.004339118720974536,0.37138463711890285,1.8879120879120879,163.13953488372093
86,0.9626422036113665,0.004017355312852984,0.45874448599470957,1.6021978021978023,183.34540389972145
94,0.5717868035048651,0.005106744140501227,0.3709397854837483,1.8879120879120879,163.55269320843092
100,0.5160623517451711,0.004625797503467854,0.3740250004787791,1.8813186813186813,163.48717948717947
113,0.7993416275354601,0.004900661335047314,0.48922052320895687,1.334065934065934,190.63103448275862
138,0.07606138355037033,0.000975530872534099,0.8742784576310321,0.20659340659340658,256.9583333333333
154,0.7682770973519871,0.001027895945498401,0.8763856664088683,0.1956043956043956,270.5217391304348
166,0.8397686014426102,0.0035666190101212403,0.6460745362809857,0.8923076923076924,225.67605633802816
178,0.5076777847702958,0.00472433882686759,0.4133696323006507,1.7582417582417582,172.0575
230,0.8545626179987413,0.005764698625665773,0.371296994870214,1.8923076923076922,162.8287037037037
235,0.0009633538267899501,0.0007353721701661279,0.9489513256826276,0.15824175824175823,302.7631578947368
242,0.4801278017137048,0.0021977345776955743,0.7777301577583215,0.6901098901098901,254.56953642384107
246,0.8974584886479159,0.0061864370879562034,0.3554436534120507,1.9472527472527472,159.80812641083523
262,0.024398508980006776,0.0007756381439608225,0.9342270632593214,0.15384615384615385,303.2432432432432
269,0.7541947039744396,0.004362641293018228,0.40002523022581055,1.7956043956043957,169.8743842364532
275,0.9042068064094495,0.0029420583419757077,0.7845707555400454,0.4725274725274725,260.29347826086956
280,0.7984508883187297,0.0038703108622261512,0.49629928111619814,1.4,186.3846153846154
294,0.6058575785448032,0.005392278484662518,0.36520278403992207,1.8813186813186813,162.0163551401869
304,0.5504526310693711,0.003741152135648531,0.5191061876694394,1.410989010989011,193.03416149068323
308,0.5326814155007987,0.005412397245067099,0.39399902231957773,1.7692307692307692,169.5502512562814
309,0.8200319504284261,0.003655116636340416,0.5660299312832591,1.1406593406593406,204.8069498069498
324,0.7596892094689451,0.005341121969895439,0.38131325833151697,1.8615384615384616,165.28301886792454
347,0.9259040518952413,0.0024035538195724773,0.7083113617004015,0.6923076923076923,238.08227848101265
364,0.6339691145858546,0.004532788260107675,0.4739576553013716,1.567032967032967,186.0141242937853
367,0.7027738781042745,0.005717626667160882,0.4055947789600633,1.756043956043956,169.9502487562189
378,0.7368010843781768,0.002667198183961245,0.7037373806043713,0.756043956043956,234.4
401,0.8605799486856754,0.003015519859419969,0.7145736105218498,0.676923076923077,240.275
413,0.6345645543883429,0.00205974539127725,0.8018974826138157,0.6615384615384615,257.05333333333334
416,0.7032047247906278,0.00481460726058821,0.3888890574050201,1.786813186813187,166.4963325183374
419,0.5223168901582999,0.004532160610127738,0.5290427498528982,1.4461538461538461,194.54103343465044
451,0.8486517887398944,0.003438494561430279,0.5313102766100258,1.1714285714285715,194.43636363636364
6,0.6241322554097885,0.004594532591314983,0.5296434053607274,1.2813186813186812,200.41935483870967
1,0.16514982814542284,0.0014486228142582443,0.9556257037156185,0.49230769230769234,294.0450450450451
7,0.7190153458875925,0.003618789067007088,0.5345029379448717,1.4241758241758242,190.34513274336283
14,0.9092704652176017,0.006504644905028423,0.5425766322882853,1.3736263736263736,197.54019292604502
15,0.48245146923561016,0.002175252050808197,0.779340160265508,0.9428571428571428,241.6150234741784
16,0.5302851333688338,0.002902753293096085,0.6953920230869367,1.1120879120879121,226.7540322580645
19,0.6077165125623275,0.004086857860443517,0.43990557774448497,1.6923076923076923,178.8451443569554
23,0.6040906230333543,0.003916658884071046,0.514666824865151,1.457142857142857,194.2415902140673
32,0.8065353149053589,0.002624600494247801,0.7531528553869672,0.9692307692307692,234.18695652173912
45,0.8685046231301737,0.004616397860494032,0.543864404774813,1.402197802197802,197.76100628930817
46,0.6231059689209468,0.004670403455456444,0.4023892737652517,1.7648351648351648,169.00742574257427
49,0.09798615481434864,0.0015430443830302034,0.9382304096444827,0.5626373626373626,284.6692913385827
52,0.9669942392409352,0.004558221062752445,0.5577942735949099,1.3142857142857143,205.7781690140845
63,0.3513772571041293,0.002414938831318126,0.6566017684067336,1.0681318681318681,219.4331983805668
68,0.9604347194655564,0.004065638097538266,0.44903378738169264,1.6791208791208792,179.19895287958116
76,0.43500508302270413,0.0032110733654153226,0.525420689524996,1.432967032967033,192.51975683890578
78,0.4915137725710413,0.0039053580749332096,0.4568706154888434,1.6307692307692307,181.420054200542
95,0.48255312968969355,0.0031618660321121664,0.5547753658241625,1.3868131868131868,197.22049689440993
101,0.3232608800890739,0.00306253553700285,0.5594323901318531,1.312087912087912,200.54849498327758
102,0.7193590550418744,0.004035877931232812,0.4281291076383818,1.7274725274725276,175.11195928753182
