node_id,Degree_Centrality
27,1.6549450549450548
0,0.15384615384615385
57,1.4703296703296704
70,0.3758241758241758
74,1.8879120879120879
86,1.6021978021978023
94,1.8879120879120879
100,1.8813186813186813
113,1.334065934065934
138,0.20659340659340658
154,0.1956043956043956
166,0.8923076923076924
178,1.7582417582417582
230,1.8923076923076922
235,0.15824175824175823
242,0.6901098901098901
246,1.9472527472527472
262,0.15384615384615385
269,1.7956043956043957
275,0.4725274725274725
280,1.4
294,1.8813186813186813
304,1.410989010989011
308,1.7692307692307692
309,1.1406593406593406
324,1.8615384615384616
347,0.6923076923076923
364,1.567032967032967
367,1.756043956043956
378,0.756043956043956
401,0.676923076923077
413,0.6615384615384615
416,1.786813186813187
419,1.4461538461538461
451,1.1714285714285715
6,1.2813186813186812
1,0.49230769230769234
7,1.4241758241758242
14,1.3736263736263736
15,0.9428571428571428
16,1.1120879120879121
19,1.6923076923076923
23,1.457142857142857
32,0.9692307692307692
45,1.402197802197802
46,1.7648351648351648
49,0.5626373626373626
52,1.3142857142857143
63,1.0681318681318681
68,1.6791208791208792
76,1.432967032967033
78,1.6307692307692307
95,1.3868131868131868
101,1.312087912087912
102,1.7274725274725276
110,0.8021978021978022
112,0.567032967032967
115,1.2967032967032968
127,1.3516483516483517
129,1.0
134,0.5318681318681319
136,1.7604395604395604
139,1.287912087912088
153,1.3076923076923077
157,1.10989010989011
159,1.167032967032967
167,0.5318681318681319
170,1.531868131868132
173,0.5472527472527473
176,1.523076923076923
184,1.6087912087912088
185,0.5384615384615384
193,1.4549450549450549
195,0.4879120879120879
201,0.9714285714285714
202,0.7142857142857143
204,1.4703296703296704
217,1.3208791208791208
221,0.7142857142857143
227,0.9714285714285714
241,1.3626373626373627
247,1.2285714285714286
251,1.30989010989011
252,1.1846153846153846
256,0.778021978021978
257,0.545054945054945
264,1.6593406593406594
266,1.7274725274725276
268,1.5164835164835164
271,0.9274725274725275
274,1.134065934065934
290,1.5076923076923077
293,1.5384615384615385
298,1.312087912087912
302,1.3450549450549452
