node_id,Pagerank_Values
6.0,0.0037460896897368616
1.0,0.0016542863912893805
7.0,0.0040258053529479325
14.0,0.007645792784679283
15.0,0.0025001718480455286
16.0,0.0033214690332576706
19.0,0.0041073093173932965
23.0,0.0041054527373840365
27.0,0.00509973605691141
32.0,0.002854075891869584
45.0,0.0054179648161039136
46.0,0.005206283258022236
49.0,0.0017505809694193645
52.0,0.0053750365305476125
63.0,0.0027741794594781603
68.0,0.00459248080855086
74.0,0.004367612303444229
76.0,0.0029176487528968717
78.0,0.004136460175820435
86.0,0.00407574734355103
94.0,0.00493549523264982
95.0,0.003676382489284223
101.0,0.003346829178266589
102.0,0.004379875717925283
110.0,0.002843873460597652
112.0,0.00172247543452298
115.0,0.003941333221405475
127.0,0.003923599114271822
129.0,0.0027417025304848496
134.0,0.0019279179779008843
136.0,0.0060920206663526
139.0,0.004064270131818966
153.0,0.0030434675611866334
157.0,0.003956940545123435
159.0,0.0030664863294486244
167.0,0.0018572589829947076
170.0,0.005528576416831851
173.0,0.0019007274233285038
176.0,0.009053198889679011
178.0,0.004785386478080446
184.0,0.004380200034482242
185.0,0.0019207744941431622
193.0,0.0051083845095895326
195.0,0.0020560560272083164
201.0,0.0026138988151961904
202.0,0.0031640823282292714
204.0,0.004066373863851839
217.0,0.003382330539219543
221.0,0.0020260942349698535
227.0,0.0028334110875195234
230.0,0.005575776969209243
241.0,0.004042107506950673
246.0,0.006062507014769799
247.0,0.0030863896725913096
251.0,0.0032467090259576488
252.0,0.004609489499149392
256.0,0.002579844411195511
257.0,0.0017503286702938885
264.0,0.0042421929429189865
266.0,0.005666309876168039
268.0,0.004145369945920916
269.0,0.004426231018660196
271.0,0.0032840555889512672
274.0,0.0029816409313544357
290.0,0.0037705260258306065
293.0,0.005197409438976613
294.0,0.00541440663049113
298.0,0.0036098746102017592
302.0,0.005415106703315922
304.0,0.003996525259455896
307.0,0.005170408368302931
308.0,0.005031785712716455
321.0,0.0026357287394273145
323.0,0.004931998472034331
324.0,0.005534633995459462
326.0,0.0041890653802769615
331.0,0.006140182229289829
336.0,0.004661350517203786
342.0,0.004815682227726511
349.0,0.001735684306445827
350.0,0.004876590425745007
354.0,0.002635160491385056
355.0,0.003782591802967185
360.0,0.005343763099990267
361.0,0.0029538930215412735
364.0,0.0048482110219765385
366.0,0.00471210269419318
367.0,0.005992672809101558
368.0,0.006574030353928202
369.0,0.0056688455830178315
383.0,0.006281702628281607
393.0,0.0024003545855695845
394.0,0.004102034626448173
396.0,0.0032855951777354033
398.0,0.0016224820696792944
402.0,0.004133381317963355
406.0,0.0033921040535335183
408.0,0.004728667412663288
417.0,0.002519992289625716
419.0,0.00523010121385953
420.0,0.0034712103386991436
434.0,0.00518230903095172
435.0,0.001746025750081241
437.0,0.001885107182313965
438.0,0.002286724223111037
441.0,0.003021532804567536
444.0,0.0035629312651429593
8.0,0.0024509931525581977
2.0,0.0018661125488511165
26.0,0.003887026849476781
33.0,0.001653490196021952
38.0,0.003584032222178388
40.0,0.003289368357172834
50.0,0.0024855532730573976
53.0,0.005176823441957762
65.0,0.002131083710198799
66.0,0.0031786128124354817
67.0,0.0026994231233833294
71.0,0.0026661298839657298
81.0,0.0019496627563899932
82.0,0.0041907569247031425
84.0,0.002654325345640583
90.0,0.002804082364771259
100.0,0.004825171064984925
123.0,0.0024361193656730964
133.0,0.004359824394746078
140.0,0.0021364711310397333
142.0,0.002601401761865917
143.0,0.0022898183069846507
150.0,0.0023551121683483556
162.0,0.0031091335346231236
163.0,0.0022238859941642103
168.0,0.0028945509169504644
180.0,0.003134324004389952
190.0,0.003025165019550936
200.0,0.008516523511749368
222.0,0.0023132084138527496
223.0,0.0016233127440155942
229.0,0.002097405995838598
237.0,0.002581679183587507
245.0,0.001707146377794309
259.0,0.003126308953935859
272.0,0.0031639423567320457
276.0,0.0022388658879987137
279.0,0.0022503086221123372
305.0,0.0036280104166725754
306.0,0.005240630450814798
313.0,0.00434244622242309
319.0,0.0025584751659691127
348.0,0.004834595717514241
372.0,0.0038116022480855646
376.0,0.0029177188536216527
381.0,0.0026669711227956883
388.0,0.00255239404381406
