Edge_Number,Betweenness_Centrality,Pagerank_Values,Clustering_Coefficient,Degree_Centrality,Average_Neighbor_Degree
6.0,0.5740664670182598,0.0037460896897368616,0.6416960822765503,1.2339331619537275,204.34934497816593
1.0,0.12190257864468768,0.0016542863912893805,0.956968961954813,0.5449871465295629,269.0188679245283
7.0,0.47486285214533697,0.0040258053529479325,0.5639508342653672,1.524421593830334,184.78
14.0,0.9240850184188906,0.007645792784679283,0.5389550432114405,1.5347043701799485,182.24242424242425
15.0,0.38060186044046324,0.0025001718480455286,0.7876677749045684,1.0385604113110538,223.7810945273632
16.0,0.3884994567089815,0.0033214690332576706,0.7016078994486695,1.223650385604113,210.32188841201716
19.0,0.4631820952481912,0.0041073093173932965,0.48090340674187954,1.7634961439588688,172.49853372434018
23.0,0.34730872180849653,0.0041054527373840365,0.5288023577744039,1.588688946015424,179.62379421221866
27.0,0.8182492778204754,0.00509973605691141,0.4627474854874253,1.7583547557840615,169.1290322580645
32.0,0.59789176582832,0.002854075891869584,0.7593072229416774,1.0668380462724936,216.43778801843317
45.0,0.8252060530570058,0.0054179648161039136,0.5403539879896933,1.5732647814910024,182.62622950819673
46.0,0.5829843903214692,0.005206283258022236,0.4325209864796427,1.8586118251928019,162.23076923076923
49.0,0.062312829618636205,0.0017505809694193645,0.942723103315478,0.6169665809768637,262.65
52.0,0.980249383828479,0.0053750365305476125,0.5592648505925568,1.473007712082262,190.75367647058823
63.0,0.3003206742109029,0.0027741794594781603,0.6578203998774322,1.1773778920308482,202.94420600858368
68.0,0.9405758884795802,0.00459248080855086,0.45994485579352357,1.825192802056555,168.05633802816902
74.0,0.447592293218138,0.004367612303444229,0.4264862940548238,1.910025706940874,161.63709677419354
76.0,0.4133450825537328,0.0029176487528968717,0.6005445450516051,1.4473007712082262,187.24137931034483
78.0,0.5521758142739777,0.004136460175820435,0.49615997088129576,1.7069408740359895,175.0787878787879
86.0,0.9648980998065354,0.00407574734355103,0.49248279291546804,1.6889460154241644,174.8159509202454
94.0,0.6765232025017889,0.00493549523264982,0.4223579145138563,1.9151670951156812,161.48108108108107
95.0,0.5548988948665624,0.003676382489284223,0.564939669435781,1.5167095115681233,185.91216216216216
101.0,0.28318050512813714,0.003346829178266589,0.5649076817870983,1.4473007712082262,185.4265734265734
102.0,0.7305674078392919,0.004379875717925283,0.45748388806906076,1.8303341902313623,167.6685393258427
110.0,0.6200871915829645,0.002843873460597652,0.8409464804508383,0.87146529562982,237.710843373494
112.0,0.11785439800704953,0.00172247543452298,0.9391170395266604,0.6169665809768637,257.73333333333335
115.0,0.8584991916889725,0.003941333221405475,0.5995476955652865,1.455012853470437,188.71672354948805
127.0,0.42672859300877214,0.003923599114271822,0.5453496993162534,1.5012853470437018,184.48620689655172
129.0,0.35250311398510586,0.0027417025304848496,0.7480695827666389,1.1002570694087404,217.94418604651162
134.0,0.23185275488299364,0.0019279179779008843,0.9446254071661238,0.5758354755784061,257.0892857142857
136.0,0.7475816924177775,0.0060920206663526,0.4337505111843273,1.8534704370179946,162.8753462603878
