Edge_Number,Clustering_Coefficient
6.0,0.6416960822765503
1.0,0.956968961954813
7.0,0.5639508342653672
14.0,0.5389550432114405
15.0,0.7876677749045684
16.0,0.7016078994486695
19.0,0.48090340674187954
23.0,0.5288023577744039
27.0,0.4627474854874253
32.0,0.7593072229416774
45.0,0.5403539879896933
46.0,0.4325209864796427
49.0,0.942723103315478
52.0,0.5592648505925568
63.0,0.6578203998774322
68.0,0.45994485579352357
74.0,0.4264862940548238
76.0,0.6005445450516051
78.0,0.49615997088129576
86.0,0.49248279291546804
94.0,0.4223579145138563
95.0,0.564939669435781
101.0,0.5649076817870983
102.0,0.45748388806906076
110.0,0.8409464804508383
112.0,0.9391170395266604
115.0,0.5995476955652865
127.0,0.5453496993162534
129.0,0.7480695827666389
134.0,0.9446254071661238
136.0,0.4337505111843273
139.0,0.5749573378839591
153.0,0.6155810314233419
157.0,0.6905380229210185
159.0,0.6622366695273411
167.0,0.9162398137369033
170.0,0.5001313280416888
173.0,0.9470253095212008
176.0,0.5342228172399629
178.0,0.4521525059967176
184.0,0.47485690206131265
185.0,0.9512539476128553
193.0,0.5118735516193973
195.0,0.9516022391678054
201.0,0.7802446846118883
202.0,0.8100912153833512
204.0,0.508329086926144
217.0,0.5813280373890326
221.0,0.8873523893609977
227.0,0.7651958230725516
230.0,0.42947546518909696
241.0,0.553296159830637
246.0,0.4088304406975306
247.0,0.6052394702921459
251.0,0.5961349611837303
252.0,0.6319804808378957
256.0,0.8632147371551788
257.0,0.9466498875033368
264.0,0.4788873692920441
266.0,0.4504078191833959
268.0,0.5178850435529863
269.0,0.44063871189286125
271.0,0.6864548594924755
274.0,0.6554033626148446
290.0,0.5266696244486782
293.0,0.49092517073650077
294.0,0.42318458629264005
298.0,0.5913431863965327
302.0,0.5358082566382866
304.0,0.5397911435745264
307.0,0.4710597404897923
308.0,0.43578644152764573
321.0,0.7801437149820356
323.0,0.444015414552253
324.0,0.413374315132866
326.0,0.4623579127775584
331.0,0.4654996087264356
336.0,0.580905539138885
342.0,0.5142361749780898
349.0,0.9203401464307505
350.0,0.5351109677797649
354.0,0.8059581581809033
355.0,0.625251907439209
360.0,0.5205331958387674
361.0,0.8049050586185512
364.0,0.5235052855400925
366.0,0.5137467425084093
367.0,0.44002677169009835
368.0,0.41753953693432316
369.0,0.47759592535966255
383.0,0.4393606972569592
393.0,0.7774224378767828
394.0,0.6335266974291365
396.0,0.6092472185019192
398.0,0.940567066521265
402.0,0.46000576310258323
406.0,0.6707302348045772
408.0,0.4523691506342939
417.0,0.8107147216796875
419.0,0.5358102868958388
420.0,0.5584757296234689
434.0,0.41968594854684727
435.0,0.9408851012285863
437.0,0.9574214008848518
438.0,0.8440999837688687
441.0,0.6822484466869605
444.0,0.5986438734862392
8.0,0.8683176477353319
2.0,0.9383561643835616
26.0,0.7753241836251775
33.0,0.9549152920196166
38.0,0.6464881101860258
40.0,0.632767091864412
50.0,0.9105129810976998
53.0,0.5451589375797727
65.0,0.8697931642609312
66.0,0.7073539895804771
67.0,0.7275063409424642
71.0,0.7617957076234891
81.0,0.9318966477336006
82.0,0.5748280501086153
84.0,0.743420206609799
90.0,0.84387130368921
100.0,0.41156988067670924
123.0,0.7873961671790176
133.0,0.6118123384922523
140.0,0.8370896300156332
142.0,0.7993521827929538
143.0,0.8126739886154315
150.0,0.8909074568611339
162.0,0.7140128443764435
163.0,0.8475075751976942
168.0,0.9188338100611436
180.0,0.7184457416866465
190.0,0.7501584863336015
200.0,0.6263439793691727
222.0,0.853527971966402
223.0,0.9575568063372941
229.0,0.9316833181955798
237.0,0.7467181053421208
245.0,0.9585122795313347
259.0,0.7841852036990752
272.0,0.7643482779097387
276.0,0.8660384728053901
279.0,0.8403424232468149
305.0,0.5335020728250511
306.0,0.5447068759479707
313.0,0.5917048529954484
319.0,0.7661228717550334
348.0,0.5851761436677877
372.0,0.6400912175315646
376.0,0.8056784083960238
381.0,0.7450652021327685
388.0,0.7973533629415123
390.0,0.7126318066295355
407.0,0.7698690084586466
411.0,0.941124215619566
423.0,0.9365797134216997
430.0,0.9530862667327714
432.0,0.9333602472366845
440.0,0.6232554723079183
449.0,0.8219245346713928
4.0,0.8799048237075492
3.0,0.7148924122310306
5.0,0.9410810323588619
9.0,0.7499935912225384
10.0,0.8995459955040331
11.0,0.939858913554661
13.0,0.7824375498272654
18.0,0.9170393756029115
21.0,0.9135338345864662
28.0,0.8560464872788189
39.0,0.8373503930502113
41.0,0.7757232056860075
43.0,0.8761087950634515
47.0,0.6614225277630883
51.0,0.9394672310121267
55.0,0.7240871837811779
64.0,0.8997382821793957
72.0,0.8818395799384392
85.0,0.9389811484400908
87.0,0.9293474324617947
91.0,0.8640181377853352
96.0,0.8825391780553994
104.0,0.8907238425796339
106.0,0.8675231328486451
107.0,0.9445842203728791
109.0,0.9640286323239635
125.0,0.7532904300023786
126.0,0.8545179711118576
128.0,0.9128898544210553
130.0,0.9246116965489687
144.0,0.8453550289581433
145.0,0.8761106584410041
147.0,0.8748169469272332
152.0,0.7958662392159929
160.0,0.9420782963733888
161.0,0.9351402757964812
171.0,0.8645112456747405
175.0,0.9179501035756102
179.0,0.906242405305003
189.0,0.9101601225703728
192.0,0.7558088741788612
194.0,0.9070755547728073
206.0,0.8855746067734165
210.0,0.8921703296703297
219.0,0.6798382045374922
228.0,0.8848508789255383
231.0,0.9326263015811801
232.0,0.9424311926605504
238.0,0.901735828586927
240.0,0.7449561666866819
244.0,0.8305306264703319
250.0,0.9377821994336879
260.0,0.9001314751511964
263.0,0.9087721551502698
265.0,0.9291716266367901
270.0,0.8865065845508746
284.0,0.9238523852385239
285.0,0.8856885688568857
286.0,0.7826952569892927
289.0,0.9379285671695188
291.0,0.9335352661185634
292.0,0.9433989164528087
295.0,0.9106133757612334
296.0,0.8748653114000431
301.0,0.8996548602466901
312.0,0.8645049963943546
314.0,0.8734306256036055
317.0,0.9353889227897627
325.0,0.8154122287036818
330.0,0.7524270006185854
337.0,0.8873727486296006
344.0,0.746152783957531
351.0,0.8657545164718384
356.0,0.8678032274856845
363.0,0.9004051634787524
373.0,0.874433761671443
379.0,0.9374469169356209
382.0,0.8955207886840977
395.0,0.8902544868416974
409.0,0.8411152166610681
415.0,0.855970800603031
418.0,0.819708512217954
421.0,0.9147887649807969
427.0,0.9374856580888379
445.0,0.7500761688455573
448.0,0.8715462274176408
452.0,0.8701030401958784
60.0,0.7777456312926745
80.0,0.8542802416384264
118.0,0.858195211786372
121.0,0.7202800875273523
151.0,0.8760065735414955
156.0,0.716499131390221
261.0,0.7127258618778406
278.0,0.7616597351892718
316.0,0.7727307015338195
329.0,0.8404068061803247
404.0,0.8787076898771673
69.0,0.825546468158741
158.0,0.7823754964166705
169.0,0.7254255679100211
213.0,0.9185229185229186
249.0,0.901533063839524
352.0,0.8099581964765602
12.0,0.8567807351077313
22.0,0.9422442244224423
29.0,0.9301570522500755
34.0,0.9312275089964014
36.0,0.9493063168638718
44.0,0.9327643630308077
77.0,0.8909187655196878
93.0,0.970841516845445
99.0,0.9504852969440707
103.0,0.9512644297713695
108.0,0.9303400462198745
119.0,0.8160761595950808
122.0,0.829369655039877
131.0,0.9018753301637612
155.0,0.9758785942492013
165.0,0.9095271951653039
172.0,0.7960432650478526
182.0,0.8436484490398818
197.0,0.9146969496896871
211.0,0.9125472753422469
233.0,0.9584436105076042
248.0,0.9141921222935364
253.0,0.9687747035573122
267.0,0.9163896321522204
282.0,0.8939721421709894
288.0,0.9663880597014926
315.0,0.875
333.0,0.9440083725798012
357.0,0.9304595051483018
362.0,0.9657681940700809
365.0,0.9339628630376131
385.0,0.9469544648137197
389.0,0.9501446051167964
403.0,0.8770573566084788
412.0,0.9535082272586153
443.0,0.9576181781294381
450.0,0.9557083466581388
17.0,0.8548108510854472
20.0,0.9559088452531076
56.0,0.9060398302317989
75.0,0.972972972972973
79.0,0.638095238095238
114.0,0.9532963403355793
116.0,0.9472935739045418
149.0,0.9612751809114023
174.0,0.9184368412518242
181.0,0.9668619553277188
186.0,0.9665518231409704
224.0,0.9759637448370813
234.0,0.966026148969889
236.0,0.9020720128978325
239.0,0.8000281339174471
243.0,0.8264260451618753
273.0,0.9700639085099226
311.0,0.9632066604001611
328.0,0.9411764705882353
345.0,0.8269404452000213
346.0,0.8794943956523849
370.0,0.8640051449490452
374.0,0.9679603633360859
422.0,0.9657212813711488
424.0,0.8741754680291303
455.0,0.9293426367976496
196.0,0.9237915407854985
327.0,0.9424211597151577
359.0,0.950828729281768
111.0,0.8464570995730616
164.0,0.8760142810775722
281.0,0.8717673304139469
117.0,0.8820333545204153
258.0,0.9236444444444445
303.0,0.9191123188405798
436.0,0.9185805722891566
30.0,0.9091915836101883
35.0,0.9244415243101183
37.0,0.9152843601895735
62.0,0.955520621416682
89.0,0.8364183248496067
105.0,0.9129146919431279
124.0,0.7767317865622527
199.0,0.8223785524289514
208.0,0.9205776173285198
209.0,0.8222939068100359
216.0,0.9568106312292359
218.0,0.9035269709543569
220.0,0.9086378737541528
283.0,0.9014851485148515
297.0,0.918197984588026
300.0,0.9583333333333334
318.0,0.9266490765171504
322.0,0.8196822458738239
338.0,0.9552174537103488
386.0,0.9475681269403242
391.0,0.8196822458738239
399.0,0.9085008113843466
426.0,0.9173228346456693
433.0,0.921450876771559
439.0,0.9588110876099298
453.0,0.958367829686576
54.0,0.9353278936234511
59.0,0.9392338177014531
83.0,0.9512408759124088
97.0,0.9298389298389298
137.0,0.9417160598362969
198.0,0.9315881326352531
214.0,0.9478694469628286
255.0,0.9374370594159114
341.0,0.9371020142949967
48.0,0.941953797963978
120.0,0.9811840293712712
135.0,0.9679767103347889
187.0,0.9810785241248817
188.0,0.9762213575443147
226.0,0.9349059035833978
254.0,0.9801230477993375
332.0,0.9658792650918635
387.0,0.9658792650918635
447.0,0.9434672139157627
375.0,0.9383208859129539
191.0,0.9336193841494195
310.0,0.9221194280908326
177.0,0.9693978282329714
205.0,0.9707271010387157
225.0,0.9700413223140496
