Edge_Number,Betweenness_Centrality
6.0,0.5740664670182598
1.0,0.12190257864468768
7.0,0.47486285214533697
14.0,0.9240850184188906
15.0,0.38060186044046324
16.0,0.3884994567089815
19.0,0.4631820952481912
23.0,0.34730872180849653
27.0,0.8182492778204754
32.0,0.59789176582832
45.0,0.8252060530570058
46.0,0.5829843903214692
49.0,0.062312829618636205
52.0,0.980249383828479
63.0,0.3003206742109029
68.0,0.9405758884795802
74.0,0.447592293218138
76.0,0.4133450825537328
78.0,0.5521758142739777
86.0,0.9648980998065354
94.0,0.6765232025017889
95.0,0.5548988948665624
101.0,0.28318050512813714
102.0,0.7305674078392919
110.0,0.6200871915829645
112.0,0.11785439800704953
115.0,0.8584991916889725
127.0,0.42672859300877214
129.0,0.35250311398510586
134.0,0.23185275488299364
136.0,0.7475816924177775
139.0,0.5317825245806058
153.0,0.640149206265073
157.0,0.7279370842498608
159.0,0.6662271751517239
167.0,0.36335568335409324
170.0,0.9766848647072853
173.0,0.2540084276362865
176.0,0.8898113057535844
178.0,0.481117324357989
184.0,0.6458471364588027
185.0,0.06192192510534545
193.0,0.9753465136617814
195.0,0.33724458696631593
201.0,0.6290978718893276
202.0,0.8242917340259189
204.0,0.6960883046670023
217.0,0.46797895741128454
221.0,0.08975565155169216
227.0,0.33591286142103727
230.0,0.7493175734767975
241.0,0.4086674793946943
246.0,0.5130257334428749
247.0,0.25408130813876445
251.0,0.3860347706251822
252.0,0.9685553759308827
256.0,0.8797537964116291
257.0,0.004134312140566612
264.0,0.7445670898152811
266.0,0.9642289242837834
268.0,0.5628958736384597
269.0,0.7499668724988736
271.0,0.6043450030477301
274.0,0.31714281928285587
290.0,0.5376262157792914
293.0,0.5925184851456284
294.0,0.5159542045424429
298.0,0.5553494288818805
302.0,0.8611096387777277
304.0,0.42342909389658917
307.0,0.5040415551374129
308.0,0.4877229480825802
321.0,0.8230063869822172
323.0,0.6228897781782524
324.0,0.44932817427715793
326.0,0.6729520578803699
331.0,0.7157792913364959
336.0,0.8566573026263483
342.0,0.8876646436805978
349.0,0.20370100442583414
350.0,0.7518220125619484
354.0,0.9147496886014894
355.0,0.9117417114992181
360.0,0.6609599024726367
361.0,0.5644727426920733
364.0,0.8041303368404314
366.0,0.6261495242890838
367.0,0.6612646754829989
368.0,0.6232939336919937
369.0,0.612679882331116
383.0,0.8212572549227466
393.0,0.1884689794079453
394.0,0.7679882331115999
396.0,0.33656216044311343
398.0,0.0010799565367185222
402.0,0.3448506612249225
406.0,0.7431823602682002
408.0,0.619802295073278
417.0,0.5918294331222007
419.0,0.5997204038904937
420.0,0.32053507539819254
434.0,0.7774825749344075
435.0,0.11387247237166406
437.0,0.24104894919566427
438.0,0.1818633556833541
441.0,0.3806879919433917
444.0,0.8802838364296504
8.0,0.9121524925131848
2.0,0.14313730686666842
26.0,0.8448506612249225
33.0,0.00803673177324888
38.0,0.8597182837304216
40.0,0.7827763496143959
50.0,0.39605915246601114
53.0,0.6682413272202051
65.0,0.5280192404526541
66.0,0.505658177192378
67.0,0.24265232025017888
71.0,0.3634020618556701
81.0,0.5633132801526515
82.0,0.6360678981263085
84.0,0.39590676596083
90.0,0.6257652452760183
100.0,0.49100919619431266
123.0,0.7547703601621922
133.0,0.6507102536241486
140.0,0.41847321972808943
142.0,0.779728619510773
143.0,0.16408051307873744
150.0,0.8233906659952827
162.0,0.7124996687249887
163.0,0.19396151909469164
168.0,0.9140341345771605
180.0,0.9135769750616172
190.0,0.6823271406991228
200.0,0.9710796915167095
222.0,0.2310444438555111
223.0,0.0037897861288527282
229.0,0.7859499642222988
237.0,0.15331407521267856
245.0,0.2034293589165982
259.0,0.6493652770784194
272.0,0.6431704343677948
276.0,0.22783770174648185
279.0,0.14091776429120398
305.0,0.5126414544298095
306.0,0.878759971377839
313.0,0.8148835237060398
319.0,0.2096573291283492
348.0,0.7832070071290382
372.0,0.823920706013304
376.0,0.5331208756261098
381.0,0.23623221053189514
388.0,0.7697108631701693
390.0,0.7909257148914742
407.0,0.7031444624069118
411.0,0.34452601171388436
423.0,0.2301963798266769
430.0,0.9697545914716561
432.0,0.015338033021493122
440.0,0.6421169798319772
449.0,0.6223398616595552
4.0,0.12096838311292502
3.0,0.7873876977711817
5.0,0.5620279331089497
9.0,0.2526700765907826
10.0,0.1645708000954072
11.0,0.28396893965494396
13.0,0.5159210770413166
18.0,0.8226353589696022
21.0,0.027634961439588688
28.0,0.9145244215938303
39.0,0.8583269286831156
41.0,0.6802864866297406
43.0,0.10009805740333395
47.0,0.5792012296928418
51.0,0.0427145999522964
55.0,0.8426244931492327
64.0,0.3249410330479951
72.0,0.002047279569607505
85.0,0.026283359393634218
87.0,0.13152943047200064
91.0,0.2775885829380118
96.0,0.3045609943550738
104.0,0.3773686163305329
106.0,0.5328823576180002
107.0,0.006638751225717541
109.0,0.21816447141759202
125.0,0.9128216680359367
126.0,0.11428325338563061
128.0,0.5657845917366761
130.0,0.6327021440118729
144.0,0.06192855060557072
145.0,0.7406447936819229
147.0,0.19634669917578776
152.0,0.46952269896377175
160.0,0.7108101661675457
161.0,0.01890255214268677
171.0,0.4412384385021069
175.0,0.006970026236980892
179.0,0.709504942623168
189.0,0.3408554845890865
192.0,0.5948175337237961
194.0,0.8045146158534969
206.0,0.0149007500066255
210.0,0.8314008957676304
219.0,0.9707086635040946
228.0,0.15357909522168922
231.0,0.08096361275276283
232.0,0.7769922879177378
238.0,0.06771923780245408
240.0,0.44723451620597354
244.0,0.648139559536745
250.0,0.25070892852410354
260.0,0.0950693027323563
263.0,0.8617854398007049
265.0,0.06232608061908674
270.0,0.385186706596348
284.0,0.8634418148570217
285.0,0.49319561126865075
286.0,0.629555031404871
289.0,0.627070468820396
291.0,0.003909045132907535
292.0,0.6808165266477619
295.0,0.18791243738902286
296.0,0.06690430127474624
301.0,0.013005856942199136
312.0,0.2223849150610871
314.0,0.9151140911138791
317.0,0.42103728831526777
325.0,0.5452720430392495
330.0,0.3672978559881271
337.0,0.4466117191847984
344.0,0.8309569872525375
351.0,0.045053401531815654
356.0,0.03701004425834151
363.0,0.2409363156918347
373.0,0.5444836085124427
379.0,0.4389128879230382
382.0,0.037400948771632254
395.0,0.10058834442000371
409.0,0.9825351814061961
415.0,0.22843399676675588
418.0,0.4171878726843877
421.0,0.1707126388042297
427.0,0.09368457318527548
445.0,0.36682081997190785
448.0,0.5455569395489359
452.0,0.5363541197360401
60.0,0.68226088569687
80.0,0.7056555269922878
118.0,0.21817772241804256
121.0,0.6371147271619007
151.0,0.052752232793575916
156.0,0.6066109241247714
261.0,0.8638592213712135
278.0,0.6582103198791509
316.0,0.6289123578830201
329.0,0.2972133146052527
404.0,0.47942119630032065
69.0,0.09919036387247236
158.0,0.9683764874248005
169.0,0.3906129912808417
213.0,0.17498608644952693
249.0,0.12711684732197281
352.0,0.11766225850051679
12.0,0.7303818938329844
22.0,0.6877269233827153
29.0,0.44972570429067393
34.0,0.8538613415312856
36.0,0.03934222033763549
44.0,0.45085866482919457
77.0,0.030205655526992288
93.0,0.7318660058834442
99.0,0.38951315824344734
103.0,0.8589232237033896
108.0,0.007798213765139268
119.0,0.8269286831155752
122.0,0.8928590358572072
131.0,0.10935388121803195
155.0,0.6553812312829619
165.0,0.0023785545808708555
172.0,0.8952508414385286
182.0,0.7128574457371532
197.0,0.003359128614210373
211.0,0.2931916359685156
233.0,0.01600058304401982
248.0,0.4962168393713725
253.0,0.038673044814883525
267.0,0.36085786976916756
282.0,0.16377574006837517
288.0,0.5866151644449156
315.0,0.04238995044125831
333.0,0.45024911880847
357.0,0.2554262846844937
362.0,0.3166127792648345
365.0,0.08977552805236795
385.0,0.01717329658389208
389.0,0.06402883417698035
403.0,0.7140235337768002
412.0,0.38538547160310604
443.0,0.03878567831871306
450.0,0.2793377149974823
17.0,0.9776985662417512
20.0,0.23533114250125883
56.0,0.7739180558132138
75.0,0.577544854636525
79.0,0.5280722444544563
114.0,0.7504041555137413
116.0,0.1277793973444995
149.0,0.14245488034346593
174.0,0.9671043913815492
181.0,0.8605597222590305
186.0,0.6151710704158164
224.0,0.7755148013675032
234.0,0.5703760633927861
236.0,0.26888930114223625
239.0,0.9772679087271089
243.0,0.9161476691490207
273.0,0.47930856279649114
311.0,0.515013383510455
328.0,0.3256698380727745
345.0,0.8919910953276972
346.0,0.5690443378475075
370.0,0.8061577399093631
374.0,0.28752683327591233
422.0,7.950600270320408e-05
424.0,0.32070071290382424
455.0,0.10268862799141334
196.0,0.0811093737577187
327.0,0.9097408104311875
359.0,0.5252100283571409
111.0,0.32987703071581903
164.0,0.26708053958073835
281.0,0.02130098322423343
117.0,0.9178835502080407
258.0,0.2950003975300135
303.0,0.12308854318501046
436.0,0.06308801314499245
30.0,0.5849786658892746
35.0,0.8061179869080115
37.0,0.4813359658654228
62.0,0.898835237060398
89.0,0.966799618371187
105.0,0.7507288050247793
124.0,0.9780099647523388
199.0,0.46479871730315636
208.0,0.30271910529244955
209.0,0.4802162563273527
216.0,0.630793999946996
218.0,0.5110447088755201
220.0,0.5109983303739433
283.0,0.9429213155593247
297.0,0.7478997164285903
300.0,0.6331593035274163
318.0,0.707146264542973
322.0,0.962009381708319
338.0,0.43525561179869077
386.0,0.7161171918479845
391.0,0.8570680836403148
399.0,0.08968939654943948
426.0,0.6340139930564758
433.0,0.3510322529350966
439.0,0.08536294490234013
453.0,0.005717806694405427
54.0,0.11710571648159436
59.0,0.02767471444094029
83.0,0.03470437017994858
97.0,0.05336177881430048
137.0,0.4387273739167307
198.0,0.7690284366469669
214.0,0.5774322211326955
255.0,0.009467839821906554
341.0,0.004187316142368749
48.0,0.6826584157103861
120.0,0.001808761561497893
135.0,0.3975631410171468
187.0,0.0
188.0,0.2839556886544934
226.0,0.4927450772533326
254.0,0.23708027456072933
332.0,0.05440860784989267
387.0,0.2793774679988339
447.0,0.09712983330241433
375.0,0.6825921607081334
191.0,0.7090676596083004
310.0,0.342902764158694
177.0,0.15840245938568362
205.0,0.7762104788911562
225.0,0.17819945405878143
